17 ,20 ,465 ,23 ,187 ,347 ,43 ,107 ,2674 ,782 ,0 ,1199 ,902 ,549 ,298 ,5875 ,285 ,13 ,797 ,138 ,73 ,408 ,92 ,176 ,12 ,23 ,20 ,415 ,134 ,5 ,71 
4 ,6 ,0 ,41 ,86 ,226 ,38 ,287 ,2886 ,969 ,1199 ,0 ,584 ,510 ,160 ,460 ,388 ,56 ,1551 ,262 ,84 ,707 ,311 ,141 ,15 ,704 ,62 ,2696 ,42 ,66 ,189 
3 ,3 ,1 ,98 ,230 ,503 ,38 ,627 ,839 ,1880 ,902 ,584 ,0 ,2689 ,408 ,686 ,561 ,33 ,1651 ,223 ,83 ,729 ,526 ,228 ,131 ,7 ,24 ,2690 ,23 ,82 ,60 
72 ,6 ,0 ,93 ,77 ,537 ,108 ,312 ,2928 ,1320 ,549 ,510 ,2689 ,0 ,2121 ,34 ,677 ,41 ,2138 ,241 ,43 ,1691 ,158 ,216 ,13 ,0 ,12 ,3304 ,7 ,18 ,91 
374 ,14 ,1066 ,215 ,1367 ,3653 ,70 ,195 ,297 ,490 ,298 ,160 ,408 ,2121 ,0 ,1087 ,854 ,47 ,2556 ,865 ,127 ,1460 ,1531 ,427 ,930 ,423 ,260 ,2335 ,504 ,298 ,77 
94 ,383 ,19 ,199 ,2908 ,415 ,748 ,3296 ,1526 ,574 ,5875 ,460 ,686 ,34 ,1087 ,0 ,555 ,307 ,3653 ,849 ,999 ,3028 ,707 ,324 ,239 ,152 ,74 ,5729 ,133 ,54 ,849 
120 ,7651 ,509 ,114 ,572 ,829 ,1355 ,345 ,1175 ,320 ,285 ,388 ,561 ,677 ,854 ,555 ,0 ,823 ,2590 ,581 ,463 ,1648 ,561 ,477 ,858 ,849 ,57 ,1967 ,1968 ,1 ,91 
12 ,4 ,101 ,20 ,62 ,241 ,117 ,45 ,30 ,10 ,13 ,56 ,33 ,41 ,47 ,307 ,823 ,0 ,494 ,395 ,49 ,863 ,493 ,1243 ,595 ,569 ,61 ,990 ,1424 ,20 ,218 
855 ,18 ,2759 ,664 ,1695 ,1075 ,328 ,247 ,616 ,337 ,797 ,1551 ,1651 ,2138 ,2556 ,3653 ,2590 ,494 ,0 ,1822 ,2757 ,6624 ,4168 ,392 ,845 ,3394 ,224 ,9477 ,4325 ,528 ,697 
81 ,34 ,220 ,119 ,269 ,183 ,72 ,68 ,116 ,71 ,138 ,262 ,223 ,241 ,865 ,849 ,581 ,395 ,1822 ,0 ,6680 ,2518 ,2326 ,837 ,330 ,593 ,219 ,4746 ,398 ,128 ,179 
24 ,7 ,88 ,16 ,63 ,70 ,38 ,26 ,33 ,9 ,73 ,84 ,83 ,43 ,127 ,999 ,463 ,49 ,2757 ,6680 ,0 ,1274 ,1433 ,64 ,341 ,1089 ,108 ,2799 ,751 ,26 ,288 
729 ,177 ,1267 ,183 ,722 ,731 ,5780 ,377 ,573 ,272 ,408 ,707 ,729 ,1691 ,1460 ,3028 ,1648 ,863 ,6624 ,2518 ,1274 ,0 ,1931 ,1375 ,1217 ,1103 ,237 ,7490 ,2103 ,174 ,898 
49 ,7 ,176 ,73 ,772 ,412 ,51 ,41 ,71 ,35 ,92 ,311 ,526 ,158 ,1531 ,707 ,561 ,493 ,4168 ,2326 ,1433 ,1931 ,0 ,1207 ,1473 ,880 ,374 ,13902 ,1632 ,91 ,487 
2 ,0 ,13 ,131 ,50 ,36 ,427 ,7 ,1 ,8 ,176 ,141 ,228 ,216 ,427 ,324 ,477 ,1243 ,392 ,837 ,64 ,1375 ,1207 ,0 ,5 ,1 ,0 ,3633 ,19 ,114 ,1194 
